tol,OriSize,total_latency,load_time,transfer_time,comp_time,decomp_time,device
1e-05,1700,286.76000000906333,0.85,1.030855040817303,140.2447814044163,144.63436356382977,mgard_single
1e-05,1800,303.6282353037142,0.9,1.0914935726300858,148.49447442820548,153.14226730287857,mgard_single
1e-05,1900,320.4964705983649,0.95,1.1521321044428683,156.74416745199468,161.6501710419274,mgard_single
1e-05,2000,337.36470589301575,1.0,1.2127706362556507,164.9938604757839,170.1580747809762,mgard_single
1e-05,2100,354.2329411876665,1.05,1.2734091680684332,173.24355349957307,178.665978520025,mgard_single
1e-05,2200,371.1011764823173,1.1,1.3340476998812159,181.49324652336227,187.17388225907382,mgard_single
1e-05,2300,387.96941177696806,1.15,1.3946862316939983,189.74293954715145,195.68178599812262,mgard_single
1e-05,2400,404.83764707161885,1.2,1.4553247635067807,197.99263257094066,204.18968973717142,mgard_single
1e-05,2500,421.70588236626963,1.25,1.5159632953195634,206.24232559472983,212.69759347622025,mgard_single
1e-05,2600,438.5741176609205,1.3,1.576601827132346,214.49201861851904,221.20549721526905,mgard_single
1e-05,2700,455.4423529555712,1.35,1.6372403589451285,222.74171164230825,229.71340095431785,mgard_single
1e-05,2800,472.31058825022205,1.4,1.697878890757911,230.99140466609742,238.22130469336668,mgard_single
1e-05,2900,489.1788235448728,1.45,1.7585174225706934,239.24109768988663,246.72920843241548,mgard_single
1e-05,3000,506.0470588395236,1.5,1.819155954383476,247.4907907136758,255.23711217146428,mgard_single
1e-05,3100,522.9152941341744,1.55,1.8797944861962586,255.740483737465,263.7450159105131,mgard_single
1e-05,3200,539.7835294288252,1.6,1.9404330180090412,263.9901767612542,272.25291964956193,mgard_single
1e-05,3300,556.6517647234759,1.65,2.0010715498218237,272.2398697850434,280.76082338861073,mgard_single
1e-05,3400,573.5200000181267,1.7,2.061710081634606,280.4895628088326,289.26872712765953,mgard_single
1e-05,3500,590.3882353127775,1.75,2.1223486134473886,288.7392558326218,297.77663086670833,mgard_single
1e-05,3600,607.2564706074284,1.8,2.1829871452601717,296.98894885641096,306.28453460575713,mgard_single
1e-05,3700,624.1247059020791,1.85,2.243625677072954,305.2386418802002,314.79243834480593,mgard_single
1e-05,3800,640.9929411967298,1.9,2.3042642088857366,313.48833490398937,323.3003420838548,mgard_single
1e-05,3900,657.8611764913807,1.95,2.364902740698519,321.73802792777855,331.8082458229036,mgard_single
5e-05,100,19.015971528690287,0.05,0.06063853181278254,10.706864073163006,8.198468923714499,mgard_single
5e-05,200,36.55589631358829,0.1,0.12127706362556508,19.1371196713889,17.197499578573826,mgard_single
5e-05,300,52.48218507128981,0.15,0.1819155954383476,26.79415464203096,25.356114833820506,mgard_single
5e-05,400,67.07547579879049,0.2,0.24255412725113015,34.2288030887797,32.40411858275966,mgard_single
5e-05,500,80.50880292480997,0.25,0.3031926590639127,41.06554563548834,38.890064630257726,mgard_single
5e-05,600,96.96041409784061,0.3,0.3638311908766952,49.11981344087501,47.17676946608892,mgard_single
5e-05,700,114.22618284822127,0.35,0.42446972268947775,57.40994413747719,56.041768988054606,mgard_single
5e-05,800,131.85077929614056,0.4,0.4851082545022603,65.73007286875367,65.23559817288462,mgard_single
5e-05,900,149.85300822872136,0.45,0.5457467863150429,74.08036275272828,74.77689868967802,mgard_single
5e-05,1000,168.2531118436836,0.5,0.6063853181278254,82.4609780922049,84.68574843335087,mgard_single
5e-05,1100,185.55058824115866,0.55,0.6670238499406079,90.74662326168114,93.58694112953691,mgard_single
5e-05,1200,202.41882353580942,0.6,0.7276623817533904,98.99631628547033,102.09484486858571,mgard_single
5e-05,1300,219.28705883046024,0.65,0.788300913566173,107.24600930925952,110.60274860763452,mgard_single
5e-05,1400,236.15529412511103,0.7,0.8489394453789555,115.49570233304871,119.11065234668334,mgard_single
5e-05,1500,253.0235294197618,0.75,0.909577977191738,123.7453953568379,127.61855608573214,mgard_single
5e-05,1600,269.8917647144126,0.8,0.9702165090045206,131.9950883806271,136.12645982478097,mgard_single
5e-05,1700,286.76000000906333,0.85,1.030855040817303,140.2447814044163,144.63436356382977,mgard_single
5e-05,1800,303.6282353037142,0.9,1.0914935726300858,148.49447442820548,153.14226730287857,mgard_single
5e-05,1900,320.4964705983649,0.95,1.1521321044428683,156.74416745199468,161.6501710419274,mgard_single
5e-05,2000,337.36470589301575,1.0,1.2127706362556507,164.9938604757839,170.1580747809762,mgard_single
5e-05,2100,354.2329411876665,1.05,1.2734091680684332,173.24355349957307,178.665978520025,mgard_single
5e-05,2200,371.1011764823173,1.1,1.3340476998812159,181.49324652336227,187.17388225907382,mgard_single
5e-05,2300,387.96941177696806,1.15,1.3946862316939983,189.74293954715145,195.68178599812262,mgard_single
5e-05,2400,404.83764707161885,1.2,1.4553247635067807,197.99263257094066,204.18968973717142,mgard_single
5e-05,2500,421.70588236626963,1.25,1.5159632953195634,206.24232559472983,212.69759347622025,mgard_single
5e-05,2600,438.5741176609205,1.3,1.576601827132346,214.49201861851904,221.20549721526905,mgard_single
5e-05,2700,455.4423529555712,1.35,1.6372403589451285,222.74171164230825,229.71340095431785,mgard_single
5e-05,2800,472.31058825022205,1.4,1.697878890757911,230.99140466609742,238.22130469336668,mgard_single
5e-05,2900,489.1788235448728,1.45,1.7585174225706934,239.24109768988663,246.72920843241548,mgard_single
5e-05,3000,506.0470588395236,1.5,1.819155954383476,247.4907907136758,255.23711217146428,mgard_single
5e-05,3100,522.9152941341744,1.55,1.8797944861962586,255.740483737465,263.7450159105131,mgard_single
5e-05,3200,539.7835294288252,1.6,1.9404330180090412,263.9901767612542,272.25291964956193,mgard_single
5e-05,3300,556.6517647234759,1.65,2.0010715498218237,272.2398697850434,280.76082338861073,mgard_single
5e-05,3400,573.5200000181267,1.7,2.061710081634606,280.4895628088326,289.26872712765953,mgard_single
5e-05,3500,590.3882353127775,1.75,2.1223486134473886,288.7392558326218,297.77663086670833,mgard_single
5e-05,3600,607.2564706074284,1.8,2.1829871452601717,296.98894885641096,306.28453460575713,mgard_single
5e-05,3700,624.1247059020791,1.85,2.243625677072954,305.2386418802002,314.79243834480593,mgard_single
5e-05,3800,640.9929411967298,1.9,2.3042642088857366,313.48833490398937,323.3003420838548,mgard_single
5e-05,3900,657.8611764913807,1.95,2.364902740698519,321.73802792777855,331.8082458229036,mgard_single
0.0001,100,19.015971528690287,0.05,0.06063853181278254,10.706864073163006,8.198468923714499,mgard_single
0.0001,200,36.55589631358829,0.1,0.12127706362556508,19.1371196713889,17.197499578573826,mgard_single
0.0001,300,52.48218507128981,0.15,0.1819155954383476,26.79415464203096,25.356114833820506,mgard_single
0.0001,400,67.07547579879049,0.2,0.24255412725113015,34.2288030887797,32.40411858275966,mgard_single
0.0001,500,80.50880292480997,0.25,0.3031926590639127,41.06554563548834,38.890064630257726,mgard_single
0.0001,600,96.96041409784061,0.3,0.3638311908766952,49.11981344087501,47.17676946608892,mgard_single
0.0001,700,114.22618284822127,0.35,0.42446972268947775,57.40994413747719,56.041768988054606,mgard_single
0.0001,800,131.85077929614056,0.4,0.4851082545022603,65.73007286875367,65.23559817288462,mgard_single
0.0001,900,149.85300822872136,0.45,0.5457467863150429,74.08036275272828,74.77689868967802,mgard_single
0.0001,1000,168.2531118436836,0.5,0.6063853181278254,82.4609780922049,84.68574843335087,mgard_single
0.0001,1100,185.55058824115866,0.55,0.6670238499406079,90.74662326168114,93.58694112953691,mgard_single
0.0001,1200,202.41882353580942,0.6,0.7276623817533904,98.99631628547033,102.09484486858571,mgard_single
0.0001,1300,219.28705883046024,0.65,0.788300913566173,107.24600930925952,110.60274860763452,mgard_single
0.0001,1400,236.15529412511103,0.7,0.8489394453789555,115.49570233304871,119.11065234668334,mgard_single
0.0001,1500,253.0235294197618,0.75,0.909577977191738,123.7453953568379,127.61855608573214,mgard_single
0.0001,1600,269.8917647144126,0.8,0.9702165090045206,131.9950883806271,136.12645982478097,mgard_single
0.0001,1700,286.76000000906333,0.85,1.030855040817303,140.2447814044163,144.63436356382977,mgard_single
0.0001,1800,303.6282353037142,0.9,1.0914935726300858,148.49447442820548,153.14226730287857,mgard_single
0.0001,1900,320.4964705983649,0.95,1.1521321044428683,156.74416745199468,161.6501710419274,mgard_single
0.0001,2000,337.36470589301575,1.0,1.2127706362556507,164.9938604757839,170.1580747809762,mgard_single
0.0001,2100,354.2329411876665,1.05,1.2734091680684332,173.24355349957307,178.665978520025,mgard_single
0.0001,2200,371.1011764823173,1.1,1.3340476998812159,181.49324652336227,187.17388225907382,mgard_single
0.0001,2300,387.96941177696806,1.15,1.3946862316939983,189.74293954715145,195.68178599812262,mgard_single
0.0001,2400,404.83764707161885,1.2,1.4553247635067807,197.99263257094066,204.18968973717142,mgard_single
0.0001,2500,421.70588236626963,1.25,1.5159632953195634,206.24232559472983,212.69759347622025,mgard_single
0.0001,2600,438.5741176609205,1.3,1.576601827132346,214.49201861851904,221.20549721526905,mgard_single
0.0001,2700,455.4423529555712,1.35,1.6372403589451285,222.74171164230825,229.71340095431785,mgard_single
0.0001,2800,472.31058825022205,1.4,1.697878890757911,230.99140466609742,238.22130469336668,mgard_single
0.0001,2900,489.1788235448728,1.45,1.7585174225706934,239.24109768988663,246.72920843241548,mgard_single
0.0001,3000,506.0470588395236,1.5,1.819155954383476,247.4907907136758,255.23711217146428,mgard_single
0.0001,3100,522.9152941341744,1.55,1.8797944861962586,255.740483737465,263.7450159105131,mgard_single
0.0001,3200,539.7835294288252,1.6,1.9404330180090412,263.9901767612542,272.25291964956193,mgard_single
